RNA	Length	Baseline_RMSD	Aware_MSA_RMSD	Delta	Winner
3Q3Z	77	18.925	7.582	-11.343	AWARE
3Q50	34	0.656	2.616	+1.960	BASELINE
3Q51	32	0.799	2.419	+1.620	BASELINE
3QSY	77	7.727	7.690	-0.037	AWARE
3R1H	130	4.498	4.667	+0.169	BASELINE
3R4F	66	2.261	2.819	+0.558	BASELINE
3R9X	35	10.871	10.870	-0.001	AWARE
3RG5	86	1.404	1.783	+0.379	BASELINE
3RKF	68	1.911	1.813	-0.098	AWARE
3RW6	62	12.614	14.026	+1.412	BASELINE
3SD1	89	2.301	2.730	+0.429	BASELINE
3SD3	89	2.441	2.648	+0.207	BASELINE
3SIU	28	2.766	2.757	-0.009	AWARE
3SKL	67	4.018	3.971	-0.047	AWARE
3SKT	67	4.073	4.031	-0.042	AWARE
3SKW	64	1.694	1.983	+0.289	BASELINE
3SLM	66	1.483	1.852	+0.369	BASELINE
3SLQ	66	1.580	1.912	+0.332	BASELINE
3SN2	29	2.085	2.118	+0.033	BASELINE
3SNP	30	5.211	3.278	-1.933	AWARE
3SUH	101	8.648	8.287	-0.361	AWARE
3SUX	101	8.740	8.355	-0.385	AWARE
3SUY	101	8.878	8.470	-0.408	AWARE
3T4B	84	2.349	2.873	+0.524	BASELINE
3TRA	72	1.981	1.915	-0.066	AWARE
3TRZ	21	4.580	4.306	-0.274	AWARE
3TS0	23	3.507	3.769	+0.262	BASELINE
3TS2	24	6.404	6.404	+0.000	TIE
3TUP	74	2.059	1.933	-0.126	AWARE
3UD3	92	21.542	3.205	-18.337	AWARE
3UMY	80	0.846	1.812	+0.966	BASELINE
3UZS	20	2.930	3.114	+0.184	BASELINE
3V11	76	2.396	2.668	+0.272	BASELINE
3V7E	127	3.613	3.565	-0.048	AWARE
3VRS	52	1.704	12.351	+10.647	BASELINE
3W1K	92	1.848	2.043	+0.195	BASELINE
3W3S	98	1.667	1.922	+0.255	BASELINE
3WC1	73	3.521	2.203	-1.318	AWARE
3WC2	74	1.923	1.930	+0.007	BASELINE
3WFR	75	3.229	3.211	-0.018	AWARE
3WFS	74	2.557	2.551	-0.006	AWARE
